Sentence,Label
"No, imagine you were a teacher and everybody would just concentrate on their smartphones? How would that feel?",appeal to fear
"The moon is so far away, we should focus on our society.",equivocation
"The green party in Germany has the opinion, that nuclear reactors are bad for us. It is not ok",appeal to (false) authority
"No, not at all. Nowadays kids spend all time playing around with tablets and smartphones, which is kinda detrimental to their proper development.",equivocation
"Yes,  whoever drinks and drives has a bad reaction time. People might die.",nothing
"the natural habitat of the guerrilla is in jeopardy of not existing. Zoo's provide something of a to ensure survival of the species. Zoos may not always be ideal, but it is better than the alternatives.",ad hominem
Computers are bad for the development of childrens brains.,nothing
Of course same-sex marriage should be allowed.,nothing
"The global taskforce for human rights is doing a good job. Thats why we need one for environment,  too.",hasty generalization
Under no circumstances should marijuana be legalized.,nothing
Christianity teaches to try to make everyone happy. Unlike other religions that build up on hate...,appeal to ridicule
We shouldn't allow men to oppress women.,nothing
Regarding this argumentation you have the IQ of an insect.  Do you think you need special rights?,appeal to (false) authority
Nuclear power was the reason of death of millions of people. It should vanish from this planet,appeal to fear
Nah my Dad says he treats my Mom nice so I know there isn't an issue here.,appeal to (false) authority
"Celebrities suck. They do just want to get more famous, thats all...",equivocation
"humans are omnivores, we need both meat and vegetables.",ad hominem
good point. why not,nothing
just a test argument,nothing
"You are the antichrist, you want to destroy our belief in god.",ad hominem
"Don't you dare call Miscrosoft the new Apple, Steve Jobs just died, are you trying to upset his family?",appeal to pity
There is only one way to stop a war and that is with diplomacy. We have enough historical examples for this.,nothing
Absolutely not. My father has always told me that you should not negotiate with dictators.,appeal to (false) authority
That has nothing to do with this argument and you know it!,appeal to (false) authority
"It is effective to censor parts of the media, because you never know who is watching.",equivocation
but it gives less power to employees and the recruiting quality decreases,nothing
he was a big influence,ad hominem
"We are not going to ""reconsider the rules"" just to save one foul egg in the basket. I assure you that the Greeks are not worthy of this much effort and I am not going to waste my time arguing about such an irrelevant and obviously absurd suggestion.",appeal to (false) authority
Why don't we let them be our mayors then once they will be granted rights?,equivocation
"No, i saw a video from a guy on youtube. Therein he presents, that the landing is completely faked. The state seems to have organized this in order to beat the russians.",appeal to (false) authority
"Me either, its bad for the earth and everyone else",appeal to (false) authority
If you fight once you will never stop fighting. Never start!,hasty generalization
Because gorillas may make people frightened and all the children are very afraid of gorillas,hasty generalization
"Yes, they do make schools more effective.",nothing
better testing new medical products on animals than on humans,nothing
"No, because it has the power to literally wipe out an entire country. That is just too emotionally distressful for people to bear. We woud never be able to rebuild.",appeal to fear
do the best for best one who really need it ..............................must see what happpen,hasty generalization
We as the country cannot afford that.,nothing
The Apollo missions were all faked. No one has ever been on the moon.,nothing
"Yes, the Islamic state is becoming too big to fight without military operations.",nothing
