Sentence,Label
"Americans are angry, they're upset, and they're a little fearful.",appeal to anger
"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",appeal to anger
literally thousands of unnecessary regulations that invade every facet of business,appeal to anger
"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",appeal to anger
"I mean, she was very, very angry when upheld .",appeal to anger
"But Hillary was extremely upset, extremely angry .",appeal to anger
I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,appeal to anger
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",appeal to anger
I will knock the hell out of ISIS.,appeal to anger
"religion.He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.",appeal to anger
I resent that comment.,appeal to anger
It’s a disgrace.,appeal to anger
It’s an absolute disgrace.,appeal to anger
an aggressive effort,appeal to anger
I will fight tooth and nail to pass the minimum wage.,appeal to anger
And that's not acceptable .,appeal to anger
"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",appeal to anger
"I see people in my state, middle class people -- their taxes have gone up in Washington and their services have gone down while the wealthy have gotten tax cuts.",appeal to anger
"He twisted arms and got six Democrats to vote the other way, but we lost by one vote.",appeal to anger
"Absolutely. I mean, she calls our people deplorable, a large group, and irredeemable.",appeal to anger
"It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans.And what he has said about African-Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for.",appeal to anger
the hateful and divisive campaign,appeal to anger
much harsher language,appeal to anger
There's too much bitterness in Washington. There's too much wrangling.,appeal to anger
"I will never send troops anywhere on a mission of that kind without telling them that if somebody shoots at them, they can darn well shoot back.",appeal to anger
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",appeal to anger
a careless way in a belligerent attitude which has exemplified his attitudes in the past,appeal to anger
I violently disagree with your assessment.,appeal to anger
"Our tax structure is a disgrace, it needs to be reformed.",appeal to anger
"Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do.We",appeal to anger
That is absolutely outrageous.,appeal to anger
"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",appeal to anger
think it's a cynicism in Washington and it doesn't have to be that way.,appeal to anger
It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,appeal to anger
outrageous,appeal to anger
brutal,appeal to anger
"Once again, the president is misleading America.",appeal to anger
People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,appeal to anger
"I disagree, strongly disagree with that.",appeal to anger
"Americans are hurting right now, and they're angry. They're hurting, and they're angry.",appeal to anger
"They're innocent victims of greed and excess on Wall Street and as well as Washington, D.C. And they're angry, and they have every reason to be angry.",appeal to anger
"I don't think there's any question about that, and I resent it. I resent it.",appeal to anger
"Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was. Well, I want to tell you, President Bush, the ""we"" is the people of the US of America.",appeal to anger
"It's taken months and months and months to get Mr. Bush and the administration to support that legislation, and they're still resisting.",appeal to anger
The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,appeal to anger
racist hatred,appeal to anger
racist division,appeal to anger
hatred,appeal to anger
fraudulent election,appeal to anger
just unacceptable,appeal to anger
