Sentence,Label
"I don't think there are any villains, but, boy, is the system rotten.",appeal to worse problems
America needs a new direction.,appeal to worse problems
the worst economic crisis,appeal to worse problems
swamping,appeal to worse problems
They're going from tyranny to elections.,appeal to worse problems
always and only a last resort,appeal to worse problems
"This election is about the future of our country, not about personal attacks against one candidate or another.",appeal to worse problems
to fish in troubled waters,appeal to worse problems
We are less respected now than we were eight years ago or even four years ago.,appeal to worse problems
"And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas.",appeal to worse problems
There is nothing more prejudiced than not educating a child.,appeal to worse problems
"I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country.",appeal to worse problems
I've never seen such ideological squabbles in the Congress of the United States. I've never seen members of a party locked out of meetings the way they're locked out today.,appeal to worse problems
My biggest disappointment in Washington is how partisan the town is.,appeal to worse problems
The worst thing that I can think can happen in this campaign,appeal to worse problems
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",appeal to worse problems
The United States cannot continue to carry the major share of this burden by itself.,appeal to worse problems
most repressive and brutal regime probably on Earth,appeal to worse problems
some horrible things,appeal to worse problems
this is like medieval times,appeal to worse problems
"a disaster education-wise, job-wise, safety-wise, in every way possible",appeal to worse problems
fishing in troubled waters,appeal to worse problems
This is the history of dealing with dictators.,appeal to worse problems
"First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.",appeal to worse problems
enormous problems,appeal to worse problems
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.",appeal to worse problems
a disastrous situation,appeal to worse problems
And I could just not be more opposed to that kind of thinking .,appeal to worse problems
"If wind, water or fire destroyed them, we built them again.",appeal to worse problems
the greatest failure,appeal to worse problems
I believe it was a failure of presidential leadership not to reauthorize the assault weapons ban.,appeal to worse problems
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.",appeal to worse problems
"And the -- the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because it's a gateway.",appeal to worse problems
And we have former members of Congress now residing in federal prison because of the evils of this earmarking and pork-barrel spending.,appeal to worse problems
unnecessary and wasteful spending,appeal to worse problems
overly litigated economy,appeal to worse problems
It was ignored in that case and it was a very very serious mistake in judgment.,appeal to worse problems
The education is a disaster. Jobs are essentially nonexistent.I,appeal to worse problems
"We've lost in our foreign policy, the character of the American people.",appeal to worse problems
it was disastrous,appeal to worse problems
"a very, very bad message",appeal to worse problems
"But as governor, when I was at that end of the line and receiving some of these grants for Government programs, I saw that so many of them were dead-end.",appeal to worse problems
We have gone from the biggest deficits eight years ago to the biggest surpluses in history today.,appeal to worse problems
"In 1974, we had the worst recession, the deepest and most penetrating recession since the Second World War.",appeal to worse problems
This issue is an issue that divides Americans deeply.,appeal to worse problems
foisted upon it in an election year or any other time,appeal to worse problems
"And I think it’s been unfortunate, but it’s happened, that since the Great Recession, the gains have all gone to the top.",appeal to worse problems
"But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro-choice and pro-life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world. That is unacceptable.",appeal to worse problems
But I support the death penalty in the most heinous cases.,appeal to worse problems
"With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.",appeal to worse problems
That is a very serious indictment of this administration. It's probably the worst one of all.,appeal to worse problems
this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us.,appeal to worse problems
"Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years .",appeal to worse problems
"The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody .  It's a disaster .",appeal to worse problems
We've never had anything like this happen in any of our elections before .,appeal to worse problems
"We have defeated in this system of ours fascism, Nazism, communism, socialism is defunct or debunked around the world, the evil of apartheid has ended.",appeal to worse problems
this terrible century of war and recession and inflations,appeal to worse problems
Obamacare is a disaster. You know it. We all know it.,appeal to worse problems
Obamacare is a total disaster.,appeal to worse problems
"The D.C. school system is in terrible shape, and it has been for a very long time.",appeal to worse problems
The fact is that the president is driving the largest deficits in American history.,appeal to worse problems
"And this is the first president in 72 years to preside over an economy in America that has lost jobs, 1. 6 million jobs.  Eleven other presidents -- six Democrats and five Republicans -- had wars, had recessions, had great difficulties; none of them lost jobs the way this president has.",appeal to worse problems
trickle-down economics,appeal to worse problems
It is a bad economy. It's a tough economy.,appeal to worse problems
That a lot of your good friends like Bill Bennett and others of us who had admired your firmness of purpose over the years have felt that you're not quite the crusader for that cause that you once were.,appeal to worse problems
"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.",appeal to worse problems
I am not satisfied as an American with the progress that we're making,appeal to worse problems
"This is a great country, but I think it could be a greater country",appeal to worse problems
"this is a powerful country, but I think it could be a more powerful country",appeal to worse problems
I want people in Latin America and Africa and Asia to start to look to America,appeal to worse problems
more crude available,appeal to worse problems
"I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way, and there's some pretty egregious examples recently.",appeal to worse problems
"we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night",appeal to worse problems
the worst slums,appeal to worse problems
slum clearance,appeal to worse problems
"And I have said again and again and again let's get off mud wrestling, let's get off personalities and let's talk about jobs, health care, crime, the things that concern the American people.",appeal to worse problems
"A lot of people are sick and tired of the bitterness in Washington, D.C. and therefore they don't want any part of politics.",appeal to worse problems
