Sentence,Label
We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,appeal to fear
"We need a strong, credible, effective nuclear deterrent.",appeal to fear
an enormous burden,appeal to fear
"Americans are angry, they're upset, and they're a little fearful.",appeal to anger
"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",appeal to fear
"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",appeal to fear
"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",appeal to anger
Till you change it you're gonna be unhappy.,appeal to fear
a sorry little post office that can't do anything right,appeal to ridicule
"And so I favor, strongly favor, term limits.",appeal to positive emotion
"I don't think there are any villains, but, boy, is the system rotten.",appeal to worse problems
a sorry little post office,appeal to ridicule
"I don't think there are any villains, but, boy, is the system rotten",appeal to ridicule
an unequaled record in the history of our country,appeal to ridicule
literally thousands of unnecessary regulations that invade every facet of business,appeal to anger
"It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency.",appeal to fear
America needs a new direction.,appeal to worse problems
I think we all know America is going through tough times right now.,appeal to fear
the worst economic crisis,appeal to worse problems
the extraordinary honor,appeal to positive emotion
pork barrel,appeal to ridicule
a catastrophic plan,appeal to fear
be pandering,appeal to ridicule
lopsided,appeal to ridicule
swamping,appeal to worse problems
the deep discouragement of the American people,appeal to fear
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",appeal to fear
They're going from tyranny to elections.,appeal to worse problems
Join me in the wrong war at the wrong time at the wrong place.,appeal to fear
"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",appeal to positive emotion
Our education is not up to the standards that the American family and the American people want for their children.,appeal to fear
One of the uh - most embarrassing uh - failures,appeal to ridicule
"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",appeal to anger
"I mean, she was very, very angry when upheld .",appeal to anger
"But Hillary was extremely upset, extremely angry .",appeal to anger
"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment .",appeal to fear
The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,appeal to fear
"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",appeal to positive emotion
always and only a last resort,appeal to worse problems
