Sentence,Label
"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",appeal to emotion
We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,appeal to emotion
"We need a strong, credible, effective nuclear deterrent.",appeal to emotion
"But I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack.",appeal to (false) authority
"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",appeal to (false) authority
Every single one of the Joint Chiefs will testify to the fact that readiness is in an historic high.,appeal to (false) authority
an enormous burden,appeal to emotion
"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet.",appeal to emotion
"Americans are angry, they're upset, and they're a little fearful.",appeal to emotion
"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children.",appeal to emotion
"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",appeal to emotion
"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",appeal to emotion
"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",appeal to emotion
Till you change it you're gonna be unhappy.,appeal to emotion
"With regard to the freedom of the individual for choice with regard to abortion, there's one individual who's not being considered at all. That's the one who is being aborted.",appeal to emotion
is an unborn child a human being?,appeal to emotion
"But whether I agree or disagree with some individual, or what he may say, or how he may say it, I don't think there's any way that we can suggest that because people believe in God and go to church, that they should not want reflected in those people and those causes they support, their own belief in morality, and in the high traditions and principles which we've abandoned so much in this country.",appeal to (false) authority
a sorry little post office that can't do anything right,appeal to emotion
"And so I favor, strongly favor, term limits.",appeal to emotion
"I don't think there are any villains, but, boy, is the system rotten.",appeal to emotion
"I think the American people want it now. Every place I go I talk about it, and I think they want it done.",appeal to (false) authority
"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.",false causality
"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",slippery slope
strongly,appeal to emotion
a sorry little post office,appeal to emotion
strongly favor,appeal to emotion
an unfair fight,appeal to emotion
"I don't think there are any villains, but, boy, is the system rotten",appeal to emotion
If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races,ad hominem
a very bright vista,appeal to emotion
an unequaled record in the history of our country,appeal to emotion
literally thousands of unnecessary regulations that invade every facet of business,appeal to emotion
"It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency.",appeal to emotion
"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",false causality
He wants to put all our eggs in one basket and give that basket to the major oil companies.,ad hominem
a very healthy discussion,appeal to emotion
America needs a new direction.,appeal to emotion
the great honor of my life,appeal to emotion
I think we all know America is going through tough times right now.,appeal to emotion
the worst economic crisis,appeal to emotion
our brighter days,appeal to emotion
the extraordinary honor,appeal to emotion
"All of these things and all the promises and commitments that Senator Obama and I made (inaudible) made to you tonight will base -- will be based on whether you can trust us or not to be careful stewards of your tax dollar, to make sure America is safe and secure and prosperous, to make sure we reform the institutions of government.",appeal to (false) authority
pork barrel,appeal to emotion
"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",appeal to (false) authority
Our children will not see the American dream because of this debt that somebody somewhere dropped on us.,slippery slope
a catastrophic plan,appeal to emotion
be pandering,appeal to emotion
He's talking about his plan to keep jobs here. You know he calls it an outsourcing to keep -- stop outsourcing.,appeal to (false) authority
"Five million Americans have lost their health care; 620,000 Missourians have no health care at all; 96,000 Missourians have lost their health care under President Bush.",false causality
"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",ad hominem
lopsided,appeal to emotion
killed,appeal to emotion
swamping,appeal to emotion
ruining,appeal to emotion
"Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long-term hopes for this economy.",appeal to (false) authority
the deep discouragement of the American people,appeal to emotion
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",appeal to emotion
They're going from tyranny to elections.,appeal to emotion
Join me in the wrong war at the wrong time at the wrong place.,appeal to emotion
