,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.53125,0.6483100815478094,0.53125,0.5562202757990488
1,mistral,cot,0.6396761133603239,0.7053378883313761,0.6396761133603239,0.6592069362000288
2,openchat,cot,0.5515695067264574,0.7229276550914102,0.5515695067264574,0.5689208006581072
3,gemma,cot-sc,0.53125,0.6437480044699873,0.5312499999999999,0.5565115079116894
4,mistral,cot-sc,0.6740088105726872,0.7184361341083653,0.6740088105726872,0.6878569026645149
5,openchat,cot-sc,0.5112107623318386,0.7123233547448794,0.5112107623318386,0.5232299271609387
6,gemma,rar-1,0.6735537190082644,0.6719642318228247,0.6735537190082644,0.6727482068398604
7,mistral,rar-1,0.7260869565217392,0.669376474553421,0.7260869565217392,0.6592967935685611
8,openchat,rar-1,0.7056277056277056,0.6970246933949293,0.7056277056277056,0.7008506113769272
9,gemma,rar-2,0.6047430830039525,0.6279014008525702,0.6047430830039525,0.6152030435708269
10,mistral,rar-2,0.7215189873417721,0.6778582549245243,0.7215189873417721,0.6564890805397134
11,openchat,rar-2,0.7075098814229249,0.6979265492838655,0.7075098814229249,0.7023352135029653
12,gemma,tot,0.5223214285714286,0.6663141555563373,0.5223214285714286,0.5430824661470807
13,mistral,tot,0.6394849785407726,0.6788469343628626,0.6394849785407726,0.6528198264494239
14,openchat,tot,0.5022222222222222,0.7321208304469214,0.5022222222222222,0.5069442248572684
