,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.5507246376811594,0.608370915952107,0.5507246376811594,0.5657383783506889
1,mistral,cot,0.5222641509433962,0.6060492164194184,0.5222641509433962,0.5371116029854062
2,openchat,cot,0.6900212314225053,0.6656955028002898,0.6900212314225053,0.6684315621434272
3,gemma,cot-sc,0.5893617021276596,0.6177279770227883,0.5893617021276596,0.5997509665001005
4,mistral,cot-sc,0.6008316008316008,0.6451540903138548,0.6008316008316008,0.6137937430151927
5,openchat,cot-sc,0.7138297872340426,0.6926136510415735,0.7138297872340426,0.6863533585072834
6,gemma,rar-mafalda,0.49497991967871485,0.6073524706793632,0.49497991967871485,0.4998295759585557
7,mistral,rar-mafalda,0.3690944881889764,0.6774019050408634,0.3690944881889764,0.2898132625333418
8,openchat,rar-mafalda,0.524232633279483,0.6368594722850626,0.524232633279483,0.5431217539114523
9,gemma,tot,0.46170212765957447,0.6049898103808317,0.46170212765957447,0.4608589658828569
10,mistral,tot,0.4656188605108055,0.5708936692442093,0.4656188605108055,0.4777393115523072
11,openchat,tot,0.6819148936170213,0.6468607642424566,0.6819148936170213,0.6441899975094146
