,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.23660714285714285,0.5808730218782429,0.23660714285714285,0.27905427905427904
1,mistral,cot,0.33739837398373984,0.4190539244352572,0.33739837398373984,0.34547272629395215
2,openchat,cot,0.3004484304932735,0.519401508870976,0.3004484304932735,0.3117053893456454
3,gemma,cot-sc,0.24107142857142858,0.6006526503048288,0.24107142857142858,0.2866760229289344
4,mistral,cot-sc,0.40969162995594716,0.4926976711525177,0.40969162995594716,0.4279039897811423
5,openchat,cot-sc,0.26905829596412556,0.5569591790874361,0.26905829596412556,0.2884420271351594
6,gemma,rar-1,0.43388429752066116,0.4691075362803212,0.43388429752066116,0.43655095943040406
7,mistral,rar-1,0.5043478260869565,0.37375965056601457,0.5043478260869565,0.4160151139861485
8,openchat,rar-1,0.42857142857142855,0.4566321319130308,0.42857142857142855,0.4106555653953951
9,gemma,rar-2,0.39285714285714285,0.4276744125950475,0.39285714285714285,0.402614380523564
10,mistral,rar-2,0.4661016949152542,0.3632239958441653,0.4661016949152542,0.3863370510122473
11,openchat,rar-2,0.428,0.43436800657612934,0.428,0.4195169070408607
12,gemma,tot,0.27232142857142855,0.4227463008385651,0.27232142857142855,0.2963544160653602
13,mistral,tot,0.375,0.4466356302722955,0.375,0.39359860345602493
14,openchat,tot,0.2577777777777778,0.548624902555937,0.2577777777777778,0.29408321008321014
