,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.5357142857142857,0.6552420968387355,0.5357142857142857,0.5602760009476427
1,mistral,cot,0.6382113821138211,0.7039527870768902,0.6382113821138211,0.657695640613707
2,openchat,cot,0.5515695067264574,0.7229276550914102,0.5515695067264574,0.5689208006581072
3,gemma,cot-sc,0.53125,0.6437480044699873,0.5312499999999999,0.5565115079116894
4,mistral,cot-sc,0.6696035242290749,0.7161677224348051,0.6696035242290749,0.683937707856424
5,openchat,cot-sc,0.5067264573991032,0.7102633075185517,0.5067264573991032,0.5181127554768963
6,gemma,rar-1,0.6735537190082644,0.6751424367643376,0.6735537190082644,0.6743373086800004
7,mistral,rar-1,0.7217391304347827,0.6606409995936611,0.7217391304347827,0.6564417750850713
8,openchat,rar-1,0.6926406926406926,0.6911190546426279,0.6926406926406926,0.6918672781224711
9,gemma,rar-2,0.5992063492063492,0.6281124386048657,0.5992063492063492,0.6119002573296203
10,mistral,rar-2,0.7203389830508474,0.671823977608459,0.7203389830508474,0.6577344549561918
11,openchat,rar-2,0.708,0.709621139327385,0.708,0.7087997239654094
12,gemma,tot,0.5223214285714286,0.6663141555563373,0.5223214285714286,0.5430824661470807
13,mistral,tot,0.6336206896551724,0.6794179784092635,0.6336206896551724,0.6485115778021907
14,openchat,tot,0.49333333333333335,0.7282820512820513,0.49333333333333335,0.4962762762762763
