,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"**answer:** appeal to authority.,**answer:** appeal to authority.,**answer:** appeal to authority.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"**answer:** appeal to authority.,**answer:** appeal to authority.,**answer:** appeal to authority.",False
2,"He is a good charitable person, so yes he does.",ad hominem,"answer: appeal to positive emotion. the sentence attempts to make the argument seem reasonable by appealing to the positive emotion of the listener (in this case, admiration for his charitable work).,answer: appeal to positive emotion.

the sentence suggests that because someone is a good charitable person, it is automatically true that they do charity. this ignores the fact that there could be many reasons why someone is charitable, regardless of their overall character.,**answer:** appeal to positive emotion.

the sentence suggests that the person's charitable actions are the reason why he is considered a good person.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"**answer:** appeal to positive emotion.

the author uses the opponent's perceived intolerance as an emotional appeal to make the argument appear reasonable.,answer: appeal to positive emotion.

the argument suggests that if someone opposes a particular opponent, the opponent will become intolerant, and the only way to avoid that is to support the argument.,answer: appeal to positive emotion.

the sentence attempts to make the argument seem reasonable by appealing to the positive emotion of not wanting to become intolerant like the opponent.",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"answer: appeal to pity.

the argument tries to evoke strong emotions of pity for the killer's victims by describing their suffering, in order to discredit the speaker's position against the killer.,**answer:** appeal to pity.

the sentence attempts to evoke sympathy for the killer by describing the tragic consequences of his actions, thereby distracting from the fact that the killer is responsible for those consequences.,answer: appeal to pity.

the sentence uses emotional manipulation to evoke sympathy for the children killed and implies that the speaker cannot rationally have a conversation with the man responsible.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"the provided text contains a generalization that applies to an entire group of people, perpetuating stereotypes and misinformation. this sentence promotes hate speech and is not based on evidence or factual information. the answer is 'appeal to prejudice'.,answer: appeal to prejudice. the sentence perpetuates a harmful stereotype and generalization about an entire group of people based on a tragic historical event.,the provided text contains a false generalization and relies on prejudice and stereotypes, making it a fallacy. the correct answer is: **appeal to prejudice.**",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"**answer:** appeal to anger.

the sentence suggests that the person making the argument believes the other person (the arguer) intentionally wants to undermine the belief in god.,**answer:** appeal to anger.

the sentence attempts to evoke anger and emotional fear in the listener by associating them with the antichrist.,**answer:** appeal to anger.

the sentence suggests that the person making it believes the other person (you) is intentionally trying to undermine their belief in god, and that this belief is being destroyed by your actions.",False
7,You're probably a drug addict yourself.,ad hominem,"answer: appeal to anger.

the sentence attempts to make the listener feel guilty by associating them with drug addiction, without providing any evidence or logical connection between the two.,**answer:** appeal to anger.

the sentence implies that anyone who disagrees with the arguer is likely a drug addict without providing any evidence or logical reasoning to support this claim.,**answer:** appeal to authority.

the provided text suggests that the author claims derek shlongmiester, an adult film star, is an authority on the claim that the adult film industry is the third largest industry in the united states, without providing any evidence to support this claim.",False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"**answer:** appeal to anger.

the sentence suggests that anyone who disagrees with the premise that celebrities get away with more crime must be stupid.,**answer:** appeal to generalisation.

the sentence makes a sweeping statement that all celebrities are immune from crime, which is not supported by sufficient evidence.,answer: appeal to anger.

the sentence suggests that anyone who disagrees with the premise that celebrities get away with more crime must be stupid.",False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"answer: appeal to anger.

the sentence suggests that anyone who opposes censorship must be a sexual deviant. this is an overly simplistic and inflammatory generalization that fails to consider the motivations and perspectives of those who oppose censorship.,**answer:** appeal to negative emotion.,answer: appeal to negative emotion.",False
