,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"answer: appeal to anger.,answer : appeal to anger fallacy,answer: appeal to anger.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"answer: guilt by association fallacy.,answer: appeal to fear.,the given sentence is an example of the guilt by association fallacy. the arguer is attributing the lack of objective reasoning to disagreement, rather than addressing the actual arguments presented by those who disagree.",False
2,"He is a good charitable person, so yes he does.",ad hominem,"this statement appears to be a logical fallacy known as ""appeal to virtue"" or ""argumentum ad virtutem"". while it is not explicitly stated, the reasoning seems to be that because he is a good and charitable person, his actions must therefore be correct or acceptable. however, being a good or virtuous person does not necessarily guarantee that their actions are always justified.

answer : appeal to virtue,this statement does not appear to be a fallacy, but it does not necessarily provide enough context to confirm that there is no fallacy being committed. the sentence is merely stating a fact about a person's character (being good and charitable) and affirming another action based on that character (doing). without additional information, we cannot definitively identify a fallacy in this statement.

answer : nothing.,this sentence is not a fallacy. it's simply stating a conclusion based on an assumption or premise about the person being charitable. there is no logical error in this sentence.

answer : none (no fallacy)",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"answer: guilt by association fallacy,answer: circular reasoning. the argument relies on its own premise (the opponent is intolerant) to support its conclusion that if the other person follows this path, they will become like the opponent.,answer: guilt by association",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"this sentence is an example of ""appeal to emotion fallacy."" the argument relies on eliciting strong negative emotions (in this case disgust or sadness) to support the claim that it is difficult or impossible to talk to the person in question. however, the reasoning does not provide any evidence or reasoning for why it is difficult or impossible to talk to the person based on the actual merits of the argument. the fact that the person committed a heinous crime and caused suffering is undeniable, but whether it is appropriate or beneficial to talk to such a person is a separate issue that should be evaluated based on evidence and reasoning, not emotional appeal.,answer: appeal to emotion fallacy,answer: appeal to anger",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"answer: guilt by association,answer: guilt by association.,answer: guilt by association fallacy",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"answer: guilt by association.,answer: guilt by association,answer: guilt by association",False
7,You're probably a drug addict yourself.,ad hominem,"answer: appeal to guilt by association.,answer : appeal to guilt by association,answer: ad hominem fallacy",False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"answer: appeal to ridicule,answer: guilt by association,answer: appeal to prejudice (guilt by association). the statement assumes that all celebrities commit crimes, and that anyone who believes they do not is ""dumb."" this is a generalization based on stereotype or prejudice about celebrities.",False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"the given sentence is an example of the guilt by association fallacy. this fallacy occurs when one views someone negatively because of their association with another person or group that is already viewed negatively. in this case, the arguer incorrectly assumes that opposition to censorship equates to being a pervert.,answer: guilt by association,answer : circular reasoning.",False
10,You are a criminal. So you should exit this discussion.,ad hominem,"answer: tu quoque fallacy,answer: tu quoque (fallacy),answer : appeal to fear",False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"answer: appeal to anger fallacy.,answer: guilt by association fallacy,this sentence appears to be an example of the appeal to anger fallacy. the speaker seems offended that the listener might not have read a physical newspaper, which is irrelevant to the facts about the listener's knowledge.

answer : appeal to anger.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"answer: appeal to anger.,answer: appeal to anger.,answer : appeal to anger",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"answer : straw man fallacy.,answer : straw man fallacy,answer: guilt by association.",False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"answer: guilt by association fallacy.,answer: guilt by association,answer: guilt by association",False
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"answer: guilt by association. the argument uses an association with the arguer (being a university doctor) to discredit the other person's position, without providing any evidence or reason for the conclusion about their character.,answer: guilt by association fallacy,answer : appeal to anger",False
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"answer: guilt by association fallacy,answer: appeal to anger fallacy.,answer : straw man fallacy",False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"answer: guilt by association,answer: guilt by association.,answer : guilt by association",False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"answer: tu quoque fallacy,answer: appeal to anger,answer: tu quoque fallacy",False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,"answer: appeal to anger,answer: tu quoque fallacy.,answer: tu quoque (fallacy of reciprocity)",False
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,"answer : circular reasoning,answer: this is an example of appeal to irrelevant authority, where the lack of experience running a business is being used as evidence against someone's ability to balance a budget, when in reality, those two things are not directly related.,answer: circular reasoning.",False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,"answer: tu quoque (fallacy),answer: tu quoque (fallacy of reciprocity),answer: tu quoque (fallacy of recrimination)",False
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"the statement is an example of the fallacy of appeal to novelty, also known as ""appeal to ignorance"" or ""ignorance of antecedents"". it suggests that because something (in this case, modern technology) was not conceivable to marx, his ideas are irrelevant today. this is a logical fallacy because it ignores the possibility that marx's ideas could still be applicable in different contexts or with modifications.

answer : appeal to novelty (or ignorance of antecedents),answer: fallacy of division.,answer : fallacy of division.",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"answer: tu quoque,answer: tu quoque (hypocrisy fallacy),answer: tu quoque (hypocrisy fallacy)",False
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,"answer: guilt by association,answer: guilt by association,answer: guilt by association",False
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,"answer: guilt by association,this sentence seems to use guilt by association as a fallacy, where the argument relies on the assumption that because the person being addressed has a shortcoming (an overgrown lawn), they are then assumed to have other shortcomings (neglect of their neighborhood). however, there is no evidence or reason given to suggest that neglecting one's lawn equates to neglecting public areas.,answer: tu quoque.",False
26,you should be really stupid if you believe into such a thing.,ad hominem,"answer: appeal to ridicule.,answer: appeal to ridicule,answer: appeal to anger.",False
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"answer: nothing. (this statement is not using any of the listed fallacies.),answer: nothing. (the text does not commit any of the fallacies listed.),answer : nothing. the statement does not contain any logical fallacy. it is simply stating that being a bad parent oneself does not imply that all people of a certain group (in this case, gay people) are also bad parents.",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,"answer: guilt by association fallacy. the argument assumes that because the person writing has no children, they must be making a statement about child rearing or family structure, which is not necessarily true.,answer: guilt by association fallacy. the arguer is assuming that because the person being addressed does not have children, they must be the one writing about children or child-related topics. however, this is an incorrect assumption and fails to consider other possibilities such as the person's profession, hobbies, or personal interests.,answer: guilt by association fallacy. the person making the statement assumes that not having children implies a lack of understanding or empathy, which is an incorrect assumption. the two statements are unrelated.",False
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,"this appears to be an example of an appeal to negative emotion, where the argument is manipulated to a negative direction in order to make a point. the arguer is using their disapproval or negative feelings towards vegans as a way to argue that the person they are addressing must be a vegan. however, this does not provide any evidence or reasoning for the claim that the person being addressed is a vegan, it simply attempts to elicit a negative emotional response in order to make the argument seem reasonable.

answer : appeal to negative emotion,answer: appeal to anger fallacy.,answer: appeal to pity

the argument uses pity to persuade the listener, making it an ""appeal to pity"" fallacy. the speaker suggests that the listener can see what being vegan does to a person, implying that they should feel compassion for those who make this lifestyle choice, and thus be swayed towards accepting veganism themselves. however, this emotion-based argument lacks evidence or reasoning about the merits of veganism, which makes it fallacious.",False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,"answer: fallacy of appeal to tradition,answer: fallacy of appeal to tradition.,answer: fallacy of division.",False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,"answer : appeal to social pressure,answer : appeal to social pressure,answer: appeal to social pressure.",False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,"answer: fallacy of appeal to authority.,answer: appeal to false authority,answer: fallacy of appeal to false authority.",False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,"answer : appeal to emotion fallacy,answer: appeal to popularity (or appeal to numbers) fallacy. the size of crowds at rallies does not necessarily equate to increased importance or credibility of the speaker's claims.,this sentence seems to be an example of ""appeal to popularity"" fallacy. the size of the crowds at rallies does not necessarily equate to personal importance or validity of claims.",False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,"answer : circular reasoning,answer : circular reasoning,answer: appeal to popularity (fallacy)",False
35,Three million fans can't be wrong!,ad populum,"answer : fallacy of division.,answer: fallacy of division.,answer: fallacy of division.",False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,"this sentence does not appear to be a fallacy based on the provided list. however, if we consider ""circular reasoning,"" it could be argued that the conclusion is based on the premise (the whole human race confessing god as the author of the world), which in turn is used to support the initial statement about the power of true godhead. but this is not a clear case of circular reasoning, as the argument seems to be making a claim about human nature and belief, rather than simply relying on its own premise to support its conclusion.

answer: it is unclear if this sentence is a fallacy based on the provided list.,answer : circular reasoning,answer : circular reasoning.",False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,"answer : fallacy of equivocation
explanation: in the sentence, ""if all that the senses present to the mind is sensations, berkeley must be right,"" the term ""sensations"" is being used ambiguously. on one hand, it means everything presented through our senses, while on the other hand, it is used to refer to sensations in a narrow sense. the second statement, ""but berkeley assumed this premiss without any foundation or any proof of it,"" introduces a different interpretation of ""sensations."" thus, there is an equivocation fallacy.,answer : equivocation.

explanation: the term ""present"" is used ambiguously in the sentence. while berkeley argued that all ideas come from sensations, the text uses the word ""present"" to mean both ""provide as a sensation"" and ""present in the sense of existing"". this leads to an equivocation fallacy because the argument relies on a premise based on this ambiguity.,answer : circular reasoning",False
