,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"rephrased question:
which fallacy is present in the following segment: ""you have no idea how street is, you better stop talking!""?

response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on the person making it rather than addressing its substance.",True
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"rephrased question: 
which fallacy is present in the given argument segment, and what is it called?

segment: yes. people who disagree with this statement are obviously brainwashed by apple and can not argue objectively.

response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument attacks the person making the argument rather than addressing its substance. in this case, the speaker is attacking the individuals who disagree with the statement instead of engaging with their counterarguments or evidence.",True
2,"He is a good charitable person, so yes he does.",ad hominem,"rephrased question: which fallacy can be found in the given segment, and what is its definition?

segment: he is a good charitable person, so yes he does.

response template: the segment contains the fallacy of appeal to tradition. this fallacy occurs when an argument is made that something is better or true because it is traditional, without considering other evidence or perspectives.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"rephrased question:
which logical error is present in the provided segment? please choose from the list of possible fallacies.

segment: of course, because then they will not become such an intolerant person as my opponent.

response template:
the segment contains the fallacy of [fallacy name]. this fallacy occurs when [short explanation of the identified fallacy].",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"rephrased question: which of the listed fallacies can be observed in the provided segment, and what is a brief description of that fallacy?

segment: ""but think about the children he killed, they were laying in their own blood on the streets, eyes wide open. how can you talk to such a man?""

response template: the segment contains the fallacy of appeal to emotion. this fallacy occurs when an argument is based on evoking strong emotions rather than logical reasoning.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"rephrased question: which fallacy is present in the segment, ""the germans are all criminals anyway after the holocaust""?

response template:
the segment contains the fallacy of appeal to adversarial characteristics. this fallacy occurs when a group or individual is generalized based on historical events or actions committed by other members of that same group, even though it may not be representative of the whole population.",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"rephrased question: which of the following logical fallacies is present in the given segment, and what is the short explanation of this fallacy?

segment: you are the antichrist, you want to destroy our belief in god.

response: the segment contains the fallacy of ad hominem. this fallacy occurs when an argument attacks the person making the argument rather than addressing the substance of their claim.",True
7,You're probably a drug addict yourself.,ad hominem,"rephrased question:
which fallacy is present in the statement ""you're probably a drug addict yourself""?

response template:
the statement contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on the person making it, rather than addressing the substance or validity of the argument itself. in this case, the speaker is attacking the individual's character as a drug addict instead of engaging with the content of their argument.",True
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"rephrased question:
which of the listed fallacies is present in the given statement, ""only people who are really dumb think celebrities get away with more crime""?

response template:
the given statement contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on the person making the argument rather than addressing the substance of their claim. in this case, the statement implies that those who believe celebrities get away with more crime are ""really dumb,"" which is an attack on their character and not a refutation of their belief.",True
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"rephrased question:
which fallacy is present in the following statement: ""anyone who doesn't want censoring must be a pervert.""?

response template:
the statement contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on the person making it rather than addressing the substance of the argument itself. in this case, the speaker is attacking the character of those who don't want censoring, instead of addressing their argument or reasoning.",True
10,You are a criminal. So you should exit this discussion.,ad hominem,"rephrased question:
based on the list of logical fallacies and their descriptions, which fallacy is present in the given segment?

segment: you are a criminal. so you should exit this discussion.

response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument attacks the person making the argument rather than addressing its substance. in this case, the speaker is dismissing the other person's opinion based on their perceived status as a criminal, rather than engaging with the content of their argument.",True
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"rephrased question: which logical error is present in the given argument, and what is its definition?

segment: ""you have absolutely no idea, you probably never had a newspaper in your hand.""

response template: the segment contains the fallacy of appeal to ignorance. this fallacy occurs when someone assumes that because they are not aware of something or have no experience with it, it must be untrue or invalid. in this case, the argument assumes that not having read a newspaper means one cannot understand or know anything about the subject matter.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"rephrased question:
which type of logical fallacy is displayed in the following statement: ""extinction is not natural, you don't know what you are talking about!""?

response template:
the statement contains the fallacy of appeal to nature. this fallacy occurs when an argument asserts that something is good because it is 'natural' or bad because it is 'unnatural'.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"rephrased question:
which fallacy is present in the given segment where a person is making a presumption about someone's political views based on their hair length?

segment: you are one of those liberals with long hair, right?

response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument attacks the person making the argument rather than addressing its substance. in this case, the speaker is assuming the individual's political views based on their appearance, rather than engaging with the content or reasoning behind those views.",True
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"rephrased question: which fallacy is present in the given segment, where someone claims that anyone who says global warming isn't an issue is a retard?

response template: the segment contains the fallacy of ad hominem. this fallacy occurs when someone attacks the person making the argument rather than addressing the argument itself.",True
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"rephrased question: which fallacy is present in the given segment where a person is arguing about adding a university-doctor's title on identification cards?

segment: why do you want a university-doctor's title to be shown on their identification card? you must be one yourself, you egotistic prick! does it make you feel respected that we all know your little title?

response template: the segment contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on the person making the argument rather than addressing its substance. in this case, the speaker attacks the person's character (egotistic prick) instead of addressing the actual argument for adding a university-doctor's title on identification cards.",True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"rephrased question: which fallacy is present in the following segment, where the speaker generalizes about someone's knowledge based on a single question?

segment: have you ever watched a movie? i think you have no idea of movies.

response template: the segment contains the fallacy of appeal to adversary experience. this fallacy occurs when a person draws a conclusion about another person's knowledge or experience based solely on their own limited interaction with that individual, without considering other factors that may contribute to their expertise.",False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"rephrased question: what type of logical error is present in the following statement, where the person is arguing against talking with certain individuals by pointing out their past actions?

segment: no, look at all the horrible things he is responsible for! you should not talk with such terrible persons.

response template:
the segment contains the fallacy of appeal to negative emotion. this fallacy occurs when an argument is persuaded using negative emotions, rather than logical reasoning. in this case, the speaker is trying to persuade the listener by appealing to their emotions about the person's past actions, instead of providing a rational basis for their stance.",False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"rephrased question:
based on the provided definition of an argument and list of possible fallacies, determine which fallacy is present in the following segment:

**segment:** you’re way too nervous about driving at night so of course you don’t want to drive.

#### response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on personal characteristics or beliefs, rather than addressing the substance of the argument itself.",True
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,"rephrased question:
in the provided segment, which type of logical error or fallacy is being committed?

segment: you are so damn soft and weak. i guess you did never do sports, right?

response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument is attacked based on personal characteristics rather than its substance.",True
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,"rephrased question:
which fallacy is present in the following argument: ""my opponent can't possibly know how to balance a budget because she's never run a business before.""?

#### response template:
the segment contains the fallacy of appeal to tradition. this fallacy occurs when an argument is made that something is better because it is traditional, rather than being based on logical reasoning or evidence.",False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,"rephrased question: 
in the provided segment, which of the listed fallacies is being utilized?

**segment:** ""it's hard to take your claims seriously because you spend your days playing video games.""

#### response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when an argument attacks the person making the argument rather than addressing its substance.",True
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"rephrased question:
which fallacy is present in the given argument segment that states marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him?

response template:
the segment contains the fallacy of appeal to tradition. this fallacy occurs when an argument is dismissed or accepted based on its historical relevance, rather than considering its actual validity or applicability in the present context.",False
