,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,answer: ad hominem.,True
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,answer: ad hominem,True
2,"He is a good charitable person, so yes he does.",ad hominem,answer: ad hominem,True
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,answer: ad hominem,True
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,answer: appeal to emotion,False
5,The germans are all criminals anyway after the holocaust,ad hominem,answer: ad hominem,True
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,answer: ad hominem,True
7,You're probably a drug addict yourself.,ad hominem,answer: ad hominem,True
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,answer: ad populum,False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,answer: ad hominem,True
10,You are a criminal. So you should exit this discussion.,ad hominem,answer: ad hominem,True
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,answer: ad hominem,True
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,answer: ad hominem,True
13,"You are one of those liberals with long hair,  right?",ad hominem,answer: ad hominem,True
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,answer: ad hominem,True
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,answer: ad hominem,True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,answer: ad hominem,True
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,answer: ad hominem,True
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,answer: ad hominem,True
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,ad hominem,True
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,answer: ad hominem,True
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,answer: ad hominem,True
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,answer: causal oversimplification,False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,answer: ad hominem,True
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,answer: ad hominem,True
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,answer: ad hominem,True
26,you should be really stupid if you believe into such a thing.,ad hominem,answer: ad hominem,True
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,answer: ad hominem,True
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,answer: ad hominem,True
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,answer: ad hominem,True
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,answer: hasty generalization,False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,answer: ad populum,True
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,answer: appeal to authority,False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,answer: ad populum,True
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,answer: ad populum,True
35,Three million fans can't be wrong!,ad populum,answer: ad populum,True
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,answer: appeal to nature,False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,answer: appeal to nature,False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,answer: ad hominem,False
39,"The Trump administration is being sued over its plans to include a question about citizenship in the 2020 Census, which California Attorney General Xavier Becerra says ‘is not just a bad idea — it is illegal.’ No, it's not. There is nothing wrong with asking about citizenship. Canada asks a citizenship question on its census. So do Australia and many other U.S. allies.",ad populum,answer: ad populum,True
40,Some of you hold to the doctrine of States' Rights as applying to woman suffrage. Adherence to that theory will keep the United States far behind all other democratic nations upon this question. A theory which prevents a nation from keeping up with the trend of world progress cannot be justified.,ad populum,answer: ad populum,True
41,"The human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.",ad populum,answer: ad populum,True
42,Why are so many people attracted to the Pontiac Grand Prix? It could be that so many people are attracted to the Grand Prix!,ad populum,answer: circular reasoning,False
43,"I am one black woman who believes in America and loves this country, who believes that our future lies in Christianity, capitalism and the Constitution. And I am here to tell you that tens of millions of American of all backgrounds are with me — and are with President Trump.",ad populum,answer: ad populum,True
44,"We all believe such preachers as Mr. Raskin. He is so nearly right, his ideals are so very high, that most people assent — while they have no difficulty in evading them and going on their way as if a breath of wind had fanned their faces, and no voice of truth had stirred their spirits.",ad populum,answer: hasty generalization,False
45,"International inspectors would monitor Iran's facilities, and if Iran is caught breaking the agreement economic sanctions would be imposed again. … Snapback sanctions? Everyone knows that once the international sanctions are lifted, they are never coming back.",ad populum,answer: false dilemma,False
46,"All the cool kids are skipping class. If you want to fit in, you should skip too.",ad populum,answer: hasty generalization,False
47,"Of course climate change isn't real. The majority of people in our town don't believe in it, so why should we?",ad populum,answer: ad populum,True
48,"All my friends agree that this restaurant has the best pizza in town, so we should go there.",ad populum,answer: ad populum,True
49,You should buy this phone; it's the best-selling model worldwide.,ad populum,answer: ad populum,True
50,"Nobody in our circle likes that new movie, so it must be terrible.",ad populum,answer: hasty generalization,False
51,"I get mad when i think about all these poor guys on the street, having no home, no job, no family. All because they started taking drugs. Its so sad, we need heavier penalties.",appeal to anger,answer: ad populum,False
52,Greece should be kicked out of the Eurozone! These lazy people and social system doesn't deserve support from hard-working states like Germany.,appeal to anger,answer: ad hominem,False
53,"Definitely! They just misuse their fame, this inequity makes me sick!",appeal to anger,answer: ad hominem,False
54,Yes I would have air rage because of dumb asses with  a mouth and air in their heads like you.,appeal to anger,answer: ad hominem,False
55,"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",appeal to anger,answer: ad populum,False
