,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"answer: appeal to fear. 

reasoning: the statement tries to discourage the person from discussing a topic by threatening them with an unspecified negative consequence (""street"" could mean many different things and it's not clear what will happen). this is using fear as a primary motivator, which is a classic example of an appeal to fear fallacy.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,answer: appeal to authority,False
2,"He is a good charitable person, so yes he does.",ad hominem,answer: appeal to authority,False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,answer: appeal to fear,False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"answer: appeal to emotion (specifically, an appeal to disgust and sympathy). the statement is attempting to convince others that it's difficult or impossible to communicate with someone who has committed a heinous crime by describing the gruesome scene of the crime. however, this doesn't necessarily mean it's impossible to communicate with the person in question.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"answer: appeal to (false) authority and appeal to worse problems.

reasoning: the statement assumes that because of a historical event, germans are inherently criminals. this is an appeal to (false) authority where a single event in history is used as evidence for the character of an entire nationality. it is also an appeal to worse problems fallacy, implying that because of one bad event, all other characteristics should be viewed negatively.",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,answer: appeal to fear,False
7,You're probably a drug addict yourself.,ad hominem,answer: appeal to guilt by association,False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,answer: appeal to stereotype,False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"step 1: this statement seems to be using an appeal to fear, as well as an ad hominem fallacy. the speaker is trying to dismiss anyone who disagrees with the premise of censorship by labeling them as 'perverts.'

step 2: considering further, it's clear that the statement is also an example of guilt by association. by categorizing all opponents under the label 'pervert,' the speaker is suggesting that their opposition shares a negative trait, and thus must be similarly guilty or untrustworthy.

final answer: answer: appeal to fear, ad hominem, guilt by association",True
10,You are a criminal. So you should exit this discussion.,ad hominem,answer: appeal to authority,False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,answer: nothing,False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"the fallacy in this statement is an appeal to authority. the person making the claim is suggesting that they have knowledge or expertise on the topic and therefore their opinion is valid. however, this does not provide any evidence or reasoning as to why extinction is not natural. it simply dismisses the other person's opinion without providing a counter-argument.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,answer: appeal to stereotype,False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,answer: appeal to negative emotion.,False
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,answer: appeal to negative emotion,False
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,answer: nothing,False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,answer: guilt by association,False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,answer: appeal to fear,False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,answer: appeal to fear,False
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,answer: appeal to experience,False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,answer: appeal to worse problems,False
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"step 1: identify the argument being made. the argument is that marx's ideas are irrelevant today because of technological advancements.

step 2: determine if there is a logical fallacy present. in this case, we can see that there is an appeal to progress. this is where it is assumed that just because something did not exist during the time of marx, it means his ideas are no longer relevant.

answer: appeal to progress",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,answer: appeal to hypocrisy,False
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,answer: appeal to ridicule,False
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,answer: appeal to worse problems,False
26,you should be really stupid if you believe into such a thing.,ad hominem,answer: appeal to stupidity (also known as ad hominem),True
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"answer: appeal to worse problems

reasoning step 1: the statement makes an assumption that the person is a bad parent, but it does not provide any evidence for this claim. it uses a hypothetical scenario of someone being a bad parent as a way to support its argument about gay parents.

step 2: the fallacy being used here is appeal to worse problems, because the argument tries to make a scenario (gay parents) better by comparing it to the worst case scenario (the person being a bad parent), instead of providing evidence for why gay parents can be good parents.",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,answer: appeal to worst problems,False
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,"answer: nothing. 

reasoning: the statement does not provide enough information or context to classify any specific fallacy. it appears to be a joke or sarcasm, rather than an argument with logical flaws. therefore, there is no need for classification of any fallacy here.",False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,answer: appeal to majority,False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,answer: nothing,False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,answer: appeal to authority,False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,answer: appeal to positive emotion,False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,answer: appeal to popularity,False
35,Three million fans can't be wrong!,ad populum,answer: appeal to popularity,False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,answer: appeal to positive emotion,False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,answer: appeal to authority,False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,answer: nothing,False
39,"The Trump administration is being sued over its plans to include a question about citizenship in the 2020 Census, which California Attorney General Xavier Becerra says ‘is not just a bad idea — it is illegal.’ No, it's not. There is nothing wrong with asking about citizenship. Canada asks a citizenship question on its census. So do Australia and many other U.S. allies.",ad populum,answer: appeal to false authority,False
40,Some of you hold to the doctrine of States' Rights as applying to woman suffrage. Adherence to that theory will keep the United States far behind all other democratic nations upon this question. A theory which prevents a nation from keeping up with the trend of world progress cannot be justified.,ad populum,answer: appeal to majority opinion,False
41,"The human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.",ad populum,answer: appeal to authority,False
42,Why are so many people attracted to the Pontiac Grand Prix? It could be that so many people are attracted to the Grand Prix!,ad populum,answer: circular reasoning,False
