,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"answer : appeal to fear,answer : appeal to fear,answer : appeal to force",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"answer : ad hominem fallacy,answer : appeal to worse problems,answer : appeal to false authority",False
2,"He is a good charitable person, so yes he does.",ad hominem,"answer : appeal to authority,answer : appeal to authority.,answer : appeal to authority",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"answer : appeal to fear,answer : straw man fallacy,answer : appeal to fear",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"answer : appeal to emotions,answer : appeal to emotion.,answer : appeal to emotion.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"answer : appeal to worse problems,answer : appeal to (false) authority,answer : appeal to worse problems",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"answer : appeal to false authority,answer : appeal to fear.,answer : appeal to fear",False
7,You're probably a drug addict yourself.,ad hominem,"answer : ad hominem fallacy,answer : appeal to worse problems,answer : appeal to worse problems",False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"answer : appeal to the worst,answer : appeal to ignorance,answer : appeal to stereotype",False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"answer : appeal to worse problems,answer : appeal to name-calling,answer : appeal to worse problems",False
10,You are a criminal. So you should exit this discussion.,ad hominem,"answer : appeal to authority,answer : tu quoque.,answer : appeal to negative emotion",False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"answer : appeal to ignorance,answer: nothing,answer : appeal to worse problems",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"answer : fallacy of ad hominem,answer : appeal to ignorance,answer : appeals to emotion",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"answer : tu quoque.,answer : appeal to stereotype.,answer : nothing",False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"answer : appeal to (false) authority,answer : ad hominem fallacy,answer : ad hominem fallacy",True
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"answer : ad hominem fallacy,answer : ad hominem,answer : ad hominem",True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"answer : appeal to ignorance.,answer : appeal to ignorance,answer : appeal to ignorance",False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"answer : appeal to fear,answer : appeal to emotion,answer : ad hominem",False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"answer : appeal to fear,answer : appeal to worse problems,answer : appeal to emotion",False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,"answer : appeal to traditional gender roles fallacy.,answer : appeal to worse problems,answer : appeal to worse problems",False
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,"answer : appeal to authority,answer : appeal to worse problems,answer : appeal to (false) authority",False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,"answer : appeal to worse problems,answer : ad hominem fallacy,answer : appeal to worse problems",False
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"answer : appeal to technology,answer : appeal to technology,answer : appeal to technology",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"answer : appeal to hypocrisy,answer : appeal to worse problems,answer : tu quoque",False
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,"answer : ad hominem,answer : ad hominem fallacy,answer : appeal to ridicule",True
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,"answer : appeal to worse problems,answer : appeal to worse problems,answer : appeal to negative emotion",False
26,you should be really stupid if you believe into such a thing.,ad hominem,"answer : ad hominem fallacy.,answer : appeal to ridicule,answer : appeal to negative emotion",False
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"answer : ad hominem,nothing,answer : straw man fallacy",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,"answer : appeal to false authority,answer : appeal to worse problems,answer : tu quoque",False
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,"answer : fallacy of division.,answer: nothing,answer : appeal to worse problems",False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,"answer : fallacy of appeal to tradition.,answer : fallacy of anecdotal evidence,answer : appeal to tradition",False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,"answer : appeal to bandwagon,answer : appeal to popularity,answer : appeal to popularity",False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,"answer : appeal to authority,answer : appeal to authority,answer : appeal to authority",False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,"answer : appeal to positive emotion,answer : appeal to false authority,answer : appeal to popularity.",False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,"answer : appeal to majority,answer : appeal to majority,answer : appeal to majority",False
35,Three million fans can't be wrong!,ad populum,"answer : appeal to popularity,answer : appeal to popularity,answer : appeal to majority",False
