,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"**answer:** appeal to authority.

the sentence suggests that the speaker has personal knowledge and experience on the street, implying that the listener should stop talking due to their lack of understanding of the street.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,**answer:** appeal to authority.,False
2,"He is a good charitable person, so yes he does.",ad hominem,"**answer:** appeal to positive emotion.

the sentence suggests that because someone is a good charitable person, it is necessarily true that they do something. this ignores the fact that there are many charitable people who do not engage in any charitable activities.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"**answer:** appeal to positive emotion.

the argument attempts to influence the listener's decision by appealing to their positive emotions towards the candidate, rather than providing factual evidence or logical arguments.",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"**answer:** appeal to pity.

the argument suggests that the speaker is morally opposed to the defendant because of the defendant's violent actions towards children.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,answer : appeal to prejudice. the sentence unfairly generalizes about an entire group of people based on the actions of a subset of that group.,False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"**answer:** appeal to anger.

the sentence suggests that the person making the argument believes that the other person wants to destroy their belief in god, and uses that as evidence to support their claim that the other person is the antichrist.",False
7,You're probably a drug addict yourself.,ad hominem,"**answer:** appeal to anger.

the sentence suggests that anyone who disagrees with the arguer must be a drug addict, without any evidence or logical connection.",False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"answer: appeal to generalisation.

the sentence suggests that all celebrities are immune from criminal consequences, which is a generalization that is not supported by sufficient evidence.",False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,**answer:** appeal to negative emotion.,False
10,You are a criminal. So you should exit this discussion.,ad hominem,"**answer:** appeal to tu quoque.

the argument assumes that because the person is a criminal, they must immediately leave the discussion, without providing any evidence or reasoning to support this claim.",False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"answer: appeal to authority.

the text suggests that the authority of someone who has never had a newspaper in their hand is evidence that the premise is true.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"**answer:** appeal to authority.

the text relies on the alleged authority of an unnamed person to support the claim that extinction is not natural. however, the text does not provide any evidence that the alleged authority is an actual authority on the matter.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"answer: appeal to stereotype.

the sentence assumes that all liberals have long hair, which is a generalization that is not necessarily true.",False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"**text:** everybody who sais, that global warming is no issue is a retard.

**answer:** appeal to insult.",False
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"answer: appeal to anger.

the sentence attacks the person's character rather than addressing the actual argument.",False
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"**answer:** appeal to authority.

the sentence suggests that the person making the argument is an authority on movies, even though this is not explicitly stated.",False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"**answer:** appeal to anger.

the argument suggests that the person should not talk to someone based on their perceived negative attributes. this relies on the emotion of anger rather than providing evidence or logical reasoning.",False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"**answer:** appeal to negative emotion.

the sentence suggests that people are naturally nervous about driving at night, implying that anyone who is not nervous about driving at night must not be cautious or responsible.",False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,"**answer:** appeal to negative emotion.

the sentence implies that people who do not engage in sports are soft and weak, appealing to a negative emotion to support the conclusion.",False
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,answer: appeal to authority.,False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,**answer:** appeal to authority.,False
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"answer: appeal to tradition.

the sentence suggests that marx's ideas are outdated because they were written before the advent of modern technology. however, this ignores the fact that marx's ideas were revolutionary and continue to influence economic thought even in the age of technology.",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"**answer:** tu quoque.

the argument suggests that dr. barone's personal lifestyle contradicts her advocacy for environmental conservation, implying that she cannot be sincere in her recommendations.",False
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,"answer: appeal to ignorance.

the sentence suggests that steve's belief in a flat earth indicates that he must believe other outlandish things, without providing any evidence or reasoning to support this claim.",False
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,"**answer:** appeal to guilt by association.

the argument suggests that because the person is already neglecting their lawn, they are not concerned about garbage on the sidewalk.",False
26,you should be really stupid if you believe into such a thing.,ad hominem,"answer: appeal to anger.

the sentence suggests that anyone who believes in a certain idea is stupid. this is an attempt to evoke anger and undermine the validity of the belief.",False
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"answer: appeal to tradition.

the premise assumes that all parents who identify as gay would be bad parents, which is a generalization based on traditional notions of parenthood rather than objective evidence.",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,answer: appeal to pity. the text suggests that the writer believes the author does not have children because of the nature of the author's writing.,False
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,answer: appeal to negative emotion.,False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,"**answer:** appeal to tradition.

the text argues that smoking is safe because many people have done it for years, but fails to consider the potential for bias and changing health knowledge over time.",False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,"answer: appeal to positive emotion. 

the sentence tries to manipulate the recipient's emotions of wanting to be in possession of the new smartphone to make the argument that they should also buy it.",False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,"**answer:** appeal to authority.

the text relies on the alleged authority of dentists to support the claim that the brand is the best, without providing any evidence that the dentists actually prefer that brand.",False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,"answer: appeal to tradition.

the sentence relies on the traditional understanding of rallies as having smaller crowds, suggesting that the increase in crowd size implies increased importance.",False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,"answer: appeal to majority.

the text assumes that simply because many people think something, it must be the right thing to do.",False
35,Three million fans can't be wrong!,ad populum,"**answer:** appeal to positive emotion.

the sentence suggests that because a large number of people enjoy something, it must be good or correct.",False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,"answer: appeal to tradition.

the sentence suggests that the existence of god is widely acknowledged by humans due to their inherent rationality.",False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,"answer: appeal to authority.

the text argues that berkeley's assumption that all that the senses present to the mind is sensations is unfounded.",False
