,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,answer : appeal to anger.,False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"answer : appeal to false authority and circular reasoning. the statement assumes that disagreement with the speaker's position is a result of being brainwashed by apple, which implies that the speaker is an authority on the matter, when in fact this is not supported by any evidence. additionally, the argument uses circular reasoning as it claims that those who disagree are brainwashed, and then states that such people cannot argue objectively, implying that objective arguments support the speaker's position, which in turn supports the initial claim of brainwashing.",False
2,"He is a good charitable person, so yes he does.",ad hominem,answer: nothing (the text does not contain any fallacy),False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,answer: guilt by association fallacy.,False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,answer: appeal to emotion fallacy,False
5,The germans are all criminals anyway after the holocaust,ad hominem,answer: guilt by association.,False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,answer : guilt by association,False
7,You're probably a drug addict yourself.,ad hominem,answer: appeal to guilt by association,False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,answer: appeal to anger,False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,answer : circular reasoning,False
10,You are a criminal. So you should exit this discussion.,ad hominem,"this sentence appears to use the appeal to anger fallacy, where the emotions of anger or rage (in this case, implied disapproval) are substituted for evidence in an argument.

however, it could also potentially be seen as using guilt by association if the person being addressed is thought to have committed a crime. but since the sentence does not explicitly say that the other person is a criminal, it might be more accurate to describe it as the appeal to anger fallacy.

answer : appeal to anger fallacy",False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,answer: guilt by association.,False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,answer: appeal to anger.,False
13,"You are one of those liberals with long hair,  right?",ad hominem,answer: guilt by association,False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,answer : guilt by association,False
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,answer: tu quoque (fallacy of reciprocity),False
