,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you have no idea how street is, you better stop talking!


#### response:
the segment contains the fallacy of tu quoque. this fallacy occurs when the speaker undermines their own argument by accusing the listener of having the same deficiency that they themselves possess.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** yes. people who disagree with this statement are obviously brainwashed by apple and can not argue objectively.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the argument attacks the person making the argument rather than addressing the argument itself.",True
2,"He is a good charitable person, so yes he does.",ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** he is a good charitable person, so yes he does.


#### response:
the segment contains the fallacy of **hasty generalization**. this fallacy occurs when a conclusion is drawn about a whole group based on a limited or biased sample. in this case, the speaker concludes that the person is a good charitable person simply because they have observed him performing charitable acts. this is a hasty generalization because the speaker has not considered other factors that may influence the person's charitable behavior.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** of course, because then they will not become such an intolerant person as my opponent.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** but think about the children he killed, they were laying in their own blood on the streets, eyes wide open. how can you talk to such a man?


#### response:
the segment contains the fallacy of **appeal to emotion (pity)**. this fallacy occurs when an argument relies on emotional language or exaggerated emotional responses (such as pity or fear) rather than logical reasoning to persuade the audience.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** the germans are all criminals anyway after the holocaust


#### response template:
the segment contains the fallacy of **generalization**. this fallacy occurs when a broad conclusion is drawn based on a limited or biased sample, in this case, assuming that all germans are criminals based on a single event.",False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you are the antichrist, you want to destroy our belief in god.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the argument attacks the person making the argument rather than addressing the argument itself.",True
7,You're probably a drug addict yourself.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you're probably a drug addict yourself.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the responder attempts to discredit the arguer rather than address the substance of the argument by making an irrelevant personal attack.",True
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** only people who are really dumb think celebrities get away with more crime.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the intelligence of the listener rather than addressing the actual argument.",True
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** anyone who doesn't want censoring must be a pervert.


#### response:
the segment contains the fallacy of **ad hominem**. this fallacy occurs when the argument attacks the person making the opposing argument rather than addressing the argument itself.",True
10,You are a criminal. So you should exit this discussion.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you are a criminal. so you should exit this discussion.


#### response template:
the segment contains the fallacy of **ad hominem**. this fallacy occurs when the argument is deflected from the merits of the case to personal attacks on the opponent.",True
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you have absolutely no idea, you probably never had a newspaper in hand.


#### response:
the segment contains the fallacy of **tu quoque**. this fallacy occurs when the speaker dismisses the listener's argument by claiming that the listener is equally or more guilty of the same thing.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** extinction is not natural, you dont know what you are talking about!


#### response:
the segment contains the fallacy of appeal to tradition. this fallacy occurs when someone argues that something is better because it is traditional, without providing any evidence or logical reasoning to support the claim.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you are one of those liberals with long hair,  right?


#### response:
the segment contains the fallacy of **ad hominem**. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** everybody who sais, that global warning is no issue is a retard


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the argument is attacked by insulting or belittling the person making it rather than addressing the substance of the argument itself.",True
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** why do you want a university-doctor's title to be shown on their identification-card? you must be one yourself, you egotistic prick ! does it make you feel respected that we all know your little title?


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** have you ever watched a movie? i think you have no idea of movies.


#### response:
the segment contains the fallacy of **tu quoque**. this fallacy occurs when the speaker undermines their own argument by implying that the listener is just as ignorant or incompetent as they are.",False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** no, look at all the horrible things he is responsible for! you should not talk with such terrible persons.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you’re way too nervous about driving at night so of course you don’t want to drive.


#### response:
the segment contains the fallacy of **slippery slope**. this fallacy occurs when an argument incorrectly concludes that a relatively small or harmless action will inevitably lead to a much larger or more disastrous consequence.",False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you are so damn soft and weak.  i guess you did never do sports, right?


#### response:
the segment contains the fallacy of **ad hominem**. this fallacy occurs when the argument attacks the person making the argument rather than addressing the argument itself.",True
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** my opponent can’t possibly know how to balance a budget because she’s never run a business before.


#### response template:
the segment contains the fallacy of **tu quoque**. this fallacy occurs when the arguer attacks the opponent's qualifications or experience to undermine their argument without providing any evidence or logical reasoning to support their claim.",False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** it’s hard to take your claims seriously because you spend your days playing video games.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.


#### response:
the segment contains the fallacy of **tu quoque**. this fallacy occurs when the arguer defends their position by accusing their opponent of using the same flawed reasoning that they themselves are employing.",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** although dr. barone advocates for reducing our carbon footprints she lives in a large house and drives an suv.


#### response:
the segment contains the fallacy of **ad hominem**. this fallacy occurs when the argument is attacked based on the personal characteristics or lifestyle of the person making the argument, rather than addressing the argument itself.",True
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** steve thinks earth is flat so who knows what other crazy stuff he believes?


#### response template:
the segment contains the fallacy of ad hominem. this fallacy occurs when the argument attacks the person making the argument rather than addressing the argument itself.",True
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.


#### response:
the segment contains the fallacy of **guilt by association**. this fallacy occurs when the speaker attempts to discredit the arguer by associating them with something negative, in this case, an overgrown lawn.",False
26,you should be really stupid if you believe into such a thing.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** you should be really stupid if you believe into such a thing.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** just because you would be a bad parent doesn't mean gay parents can't be good parents.


#### response:
the segment contains the fallacy of **generalization**. this fallacy occurs when a conclusion is drawn about an entire group based on a limited or biased sample.",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** im sure you have no children. that is the reason why you write something like this.


#### response:
the segment contains the fallacy of ad hominem. this fallacy occurs when the arguer attacks the person making the argument rather than addressing the argument itself.",True
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** i guess you are vegan. you can see what it makes out of people...


#### response:
the segment contains the fallacy of appeal to slippery slope. this fallacy occurs when an argument incorrectly concludes that one action will inevitably lead to a series of increasingly worse consequences.",False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** smoking must be safe because millions of people have been doing it for years.


#### response template:
the segment contains the fallacy of appeal to tradition. this fallacy occurs when the safety of an action is assumed simply because it has been practiced by a large number of people in the past.",False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** everyone is getting the new smartphone as soon as it comes out this weekend. you should get it too.


#### response:
the segment contains the fallacy of appeal to majority. this fallacy occurs when the arguer assumes that something is true simply because many people believe it, without providing any logical evidence or reasoning.",False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** 9 out of 10 dentists prefer our brand, so it is the best.


#### response:
the segment contains the fallacy of **hasty generalization**. this fallacy occurs when a conclusion is drawn based on a small or unrepresentative sample size, in this case, the preference of 9 out of 10 dentists.",False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** the crowds at my rallies are far bigger than they have ever been before, including the 2016 election. never an empty seat in these large venues, many thousands of people watching screens outside. i am increasing in importance.


#### response:
the segment contains the fallacy of **appeal to populum**. this fallacy occurs when the speaker relies on the size of the crowd or popular belief to support their claim, rather than objective evidence or logical reasoning.",False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** the majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.


#### response:
the segment contains the fallacy of **appeal to populum**. this fallacy occurs when the arguer assumes that something is true simply because many people believe it, without providing any logical or empirical evidence to support the claim.",False
35,Three million fans can't be wrong!,ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** three million fans can't be wrong!


#### response:
the segment contains the fallacy of appeal to populum. this fallacy occurs when the argument assumes that something is true simply because many people believe it, without any logical evidence or reasoning to support the claim.",False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** for such is the power true godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. for with the exception of a few in whom nature is excessively depraved, the whole human race confesses god to be author of the world.


**response:**
the segment contains the fallacy of appeal to tradition. this fallacy occurs when the argument assumes that something is true because it has been traditionally believed or accepted by a group.",False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** if all that the senses present to the mind is sensations, berkeley must be right — but berkeley assumed this premise without any foundation or any proof of it. the size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.


#### response:
the segment contains the fallacy of **tu quoque**. this fallacy occurs when the arguer attempts to discredit the opponent's argument by claiming that the opponent is guilty of the very thing they are accusing the other of. in this case, the arguer suggests that berkeley is wrong because he himself relies on senses, even though this is exactly what berkeley was arguing.",False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,"rephrased question:
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** this is not the type of book i would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. but oh boy, there's so much more to it.


#### response:
the segment contains the fallacy of **straw man**. this fallacy occurs when the author misrepresents the argument by suggesting that it is limited to the perspectives of petite women who shop for children's fashion, when in reality the argument is about the book itself and its appeal to a wider audience.",False
39,"The Trump administration is being sued over its plans to include a question about citizenship in the 2020 Census, which California Attorney General Xavier Becerra says ‘is not just a bad idea — it is illegal.’ No, it's not. There is nothing wrong with asking about citizenship. Canada asks a citizenship question on its census. So do Australia and many other U.S. allies.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** the trump administration is being sued over its plans to include a question about citizenship in the 2020 census, which california attorney general xavier becerra says ‘is not just a bad idea — it is illegal.’ no, it's not. there is nothing wrong with asking about citizenship. canada asks a citizenship question on its census. so do australia and many other u.s. allies.


**response:**
the segment contains the fallacy of **appeal to tradition**. this fallacy occurs when an argument relies on the authority of tradition or precedent without considering the actual merits of the case.",False
40,Some of you hold to the doctrine of States' Rights as applying to woman suffrage. Adherence to that theory will keep the United States far behind all other democratic nations upon this question. A theory which prevents a nation from keeping up with the trend of world progress cannot be justified.,ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** some of you hold to the doctrine of states' rights as applying to woman suffrage. adherence to that theory will keep the united states far behind all other democratic nations upon this question. a theory which prevents a nation from keeping up with the trend of world progress cannot be justified.


**response:**
the segment contains the fallacy of **appeal to progress**. this fallacy occurs when an argument assumes that something is good because it aligns with or promotes societal or technological progress.",False
41,"The human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.",ad populum,"**rephrased question:**
given the definition of an argument and the list of possible fallacies, identify which fallacy is present in the following segment:


**segment:** the human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.


#### response:
the segment contains the fallacy of appeal to authority. this fallacy occurs when the argument relies on the authority of learned men as an endorsement of the claim without providing any logical or empirical evidence to support it.",False
