,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"answer: appeal to ignorance.

explanation: the premise assumes that the person making the statement has insider knowledge or expertise about the street, and that anyone who disagrees with the premise is ignorant about the street. this is a fallacy because it is not possible for anyone to have complete knowledge or expertise about everything, and it is also not valid to conclude that someone is ignorant simply because they disagree with another person.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"**answer: ad hominem**

**explanation:** the statement attacks the credibility of those who disagree with it rather than addressing the actual argument or evidence. this is a common fallacy where the arguer attempts to discredit the opponent’s position by attacking the person making the argument rather than the argument itself.",True
2,"He is a good charitable person, so yes he does.",ad hominem,"**answer: circular reasoning**

explanation: the premise implies that because the person is a good charitable person, the conclusion that they do indeed do charitable work is already established. the argument lacks independent evidence or reasoning to support the conclusion beyond its reliance on the premise itself.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,"**answer:** circular reasoning

**explanation:** the premise implies that if experts can agree on something after a process of shared reasoning and elimination of wrong ideas, then that conclusion must be true. however, this ignores the fact that experts can be wrong, and that the final agreement may simply reflect the biases of the remaining experts, rather than the actual truth.",False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,"**answer: circular reasoning**

**explanation:** 
the premise of the argument is that the experts must come to a final agreement. this premise itself relies on the assumption that the experts' conclusions are valid. however, the argument offers no evidence to support the claim that the experts' conclusions are valid. therefore, the argument is a circular reasoning.",False
5,The germans are all criminals anyway after the holocaust,ad hominem,"**answer:** answer: ad hominem.

**explanation:** the statement unfairly generalizes about an entire group of people (germans) based on the actions of a subset of that group (those responsible for the holocaust). this is a classic ad hominem fallacy.",True
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,"**answer: nothing**

the premise describes a thought experiment involving hypothetical experts reaching a consensus through iterative discussion. this scenario does not relate to any logical fallacy or rhetorical technique.",False
7,You're probably a drug addict yourself.,ad hominem,"**answer: circular reasoning**

**reasoning:** the premise of the argument suggests that if any expert realizes they are wrong at any point, they will leave the group. this implies that the remaining experts are necessarily correct, creating a circular reasoning structure.",False
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"**answer:** circular reasoning

**explanation:** the premise assumes that the experts will correctly identify when they are wrong, thereby ensuring that they will eventually reach a consensus that is actually correct. this ignores the possibility that the experts may be biased or make mistakes in their reasoning.",False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"**answer:** answer: appeal to groupthink

**explanation:** the statement suggests that anyone who opposes censorship must be a pervert because they must be willing to go against the group. this is an appeal to groupthink, which is a fallacy that occurs when individuals conform to the beliefs of a group, even if they disagree with those beliefs privately.",False
10,You are a criminal. So you should exit this discussion.,ad hominem,"**answer: nothing**

the premise describes a hypothetical scenario involving experts discussing and refining their classifications, and does not present any logical fallacy or rhetorical device.",False
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"answer: circular reasoning

explanation: the premise assumes that if any expert realises they're wrong at any point, they will leave the group. therefore, the final agreement is simply a confirmation that all three experts agree that they were wrong all along. this creates a circular reasoning where no useful information is shared as the conclusion simply contradicts the premise.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"**answer: nothing**

the premise describes a hypothetical scenario and does not contain any logical fallacy.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"**answer: circular reasoning**

**reasoning:** the statement assumes that all experts will agree on the final conclusion, despite the possibility that they might have realized they were wrong at any point during the process. this creates a circular reasoning where the conclusion is supported by its own premise, without providing any additional evidence or reasoning.",False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,"**answer: ad hominem**

explanation: the arguer undermines the credibility of those who disagree with them by labeling them as retards, rather than addressing the actual arguments. this is a fallacy known as an ad hominem attack.",True
