,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,answer: nothing. this statement does not necessarily present a fallacy as it is merely a challenge and does not contain a logical error or misrepresentation of facts.,False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,answer: appeal to ignorance,False
2,"He is a good charitable person, so yes he does.",ad hominem,answer: nothing (since the statement doesn't present any logical fallacy in the given context.),False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,answer: false dilemma,False
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,answer: appeal to emotion,False
5,The germans are all criminals anyway after the holocaust,ad hominem,answer: guilt by association,False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,answer: straw man,False
7,You're probably a drug addict yourself.,ad hominem,answer: ad hominem,True
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,answer: appeal to stupidity,False
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,answer: guilt by association,False
10,You are a criminal. So you should exit this discussion.,ad hominem,answer: ad hominem,True
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,answer: appeal to ignorance,False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,answer: appeal to ignorance,False
13,"You are one of those liberals with long hair,  right?",ad hominem,answer: answer: appeal to stereotypes,False
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,answer: appeal to name-calling,False
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,answer: ad hominem fallacy,True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,answer: appeal to ignorance,False
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,answer: guilt by association,False
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,answer: false dilemma,False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,answer: ad hominem,True
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,answer: appeal to ignorance,False
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,answer: ad hominem fallacy,True
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"answer: false dilemma. the statement presents a fallacy of a false dichotomy, suggesting that marx's ideas can only be relevant if they can be applied directly to current technologies, ignoring the possibility that marx's ideas may have broader applicability or philosophical relevance in today's context.",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"answer: hypocrisy, not necessarily a fallacy if there is no argument being presented but can be considered as an inconsistency or contradiction in the action of the person (dr. barone) compared to their advocacy for reducing carbon footprints. however, it's not explicitly stated in the provided statement that dr. barone presents this as an argument, so it is more accurately described as a situation where her actions appear inconsistent with her advocacy.",False
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,answer: guilt by association,False
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,answer: false dilemma,False
26,you should be really stupid if you believe into such a thing.,ad hominem,answer: appeal to ridicule,False
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,answer: nothing,False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,answer: guilt by association,False
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,answer: guilt by association,False
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,answer: false causation,False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,answer: appeal to bandwagon,False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,"answer: appeal to authority (specifically, false authority)",False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,answer: appeal to popularity,False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,answer: false dilemma,False
35,Three million fans can't be wrong!,ad populum,answer: fallacy of bandwagon,False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,"'answer: appeal to universal acceptance'
explanation: the argument relies on the fact that most people accept something (in this case, the existence of god) as evidence for its truth. however, the truth of an idea should not depend solely on how many people believe it. it can still be false even if a majority believes in it. this is a fallacy because it assumes that what is commonly accepted must necessarily be true.",False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,answer: questionable premise,False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,answer: equivocation,False
