,text,expected_label,actual_label,result
0,Nuclear power was the reason of death of millions of people. It should vanish from this planet,appeal to fear,causal oversimplification,False
1,"Yes, all the polar-bears are dying, and we are next.",appeal to fear,slippery slope,False
2,"Yes,,you certainly don't want your children to die from this virus.",appeal to fear,ad populum,False
3,"When we go to war, we kill children with drones and kill innocent civilians.",appeal to fear,ad populum,False
4,"If people smoke at home they hurt their family-members, the one they love, through passive-smoke. It was such a shame if this was not illegal.",appeal to fear,ad populum,False
5,"Yes, and that is why we do also have to censor the web. Think about all the brutality, which poisons our minds, all this porn that poisons the thoughts and relationships of our children.",appeal to fear,ad populum,False
6,"For little children it is already enough if one cheats. they might get drug addicts as well. You have the choice, save children or drug addicts.",appeal to fear,false dilemma,False
7,Do you want to have a Hitler again? No? Then this Topic is not arguable.,appeal to fear,ad hominem,False
8,"Test them, otherwise our children might get drug addicts as well.",appeal to fear,ad populum,False
9,We must keep Europe safe - these people are mostly muslim terrorist and they're going to overtake our country if we let them in!,appeal to fear,ad hominem,False
10,"Me and my family have been living a peaceful life, so far. Everything is fine. I dont want sick black people to come and ruin my idyll.",appeal to fear,ad hominem,False
11,Imagine you have a little child that dies because a drunken driver causes an accident. Now tell me you dont want to have that forbidden.,appeal to fear,ad hominem,False
12,"Co-ed schools... think about what this means. Young boys and girls together in a room, partly without supervision of a teacher. I would not want my daughter to get pregnant while school.",appeal to fear,ad populum,False
13,If your mom or sister or friend and she was gang raped by a group of illegals wouldn't you want her to have the chance to have the baby taken care of?,appeal to fear,ad hominem,False
14,If you don't believe in Jesus Christ you'll suffer eternal damnation and torment in the afterlife.,appeal to fear,ad populum,False
15,Look I know it seems pricey but think about the safety of your family. Without this home security system you leave your loved ones vulnerable to break-ins and potential harm.,appeal to fear,appeal to fear,True
16,No. Do you really want our children to waste away in prison because they tried smoking weed at a party once? Just imagine your childs life being ruined by such a small mistake.,appeal to fear,ad populum,False
17,"But if Turkey joins the EU, poor Turks might invade our country and take away our jobs. DONT MAKE THAT HAPPEN!",appeal to fear,slippery slope,False
18,Marijuana ruins lives and should not be legal- it can leave children without their parents.,appeal to fear,ad populum,False
19,"We should go to war; remember the horrified people leaping from the World Trade Center? If we don't fight, that will happen again.",appeal to fear,slippery slope,False
20,They will bring the disease to our country and many people will die because of that.,appeal to fear,slippery slope,False
21,You might think you're healthy now but what if illness strikes? Taking this miracle drug could save your life.,appeal to fear,ad populum,False
22,Consider the consequences of your vote. If you don't support this candidate you're risking the stability and future of our country.,appeal to fear,false dilemma,False
23,It's tempting to skip out on insurance but think about the worst-case scenario. Without coverage you could face devastating financial consequences in times of need.,appeal to fear,appeal to fear,True
24,I know it's easy to dismiss alternative news sources but think about the information you might be missing. Without subscribing you're leaving yourself vulnerable to biased reporting.,appeal to fear,ad populum,False
25,I understand your concerns but national security should be our top priority. Without this policy we're leaving ourselves vulnerable to potential threats.,appeal to fear,nothing,False
26,Sticking to a diet isn't easy. But think about the long-term health risks you're avoiding. Without it you're opening yourself up to serious diseases.,appeal to fear,slippery slope,False
27,Investing in this stock might seem risky but the alternative is financial disaster. Without it you could lose everything.,appeal to fear,ad populum,False
28,If you don't buy this miracle anti-aging cream you'll look old and unattractive.,appeal to fear,ad hominem,False
29,If you don't enroll your child in this elite private school they'll fall behind academically and struggle to succeed in life.,appeal to fear,ad populum,False
30,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,ad hominem,True
31,"He is a good charitable person, so yes he does.",ad hominem,ad populum,False
32,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,slippery slope,False
33,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,ad hominem,True
34,The germans are all criminals anyway after the holocaust,ad hominem,ad hominem,True
35,"You are the antichrist, you want to destroy our belief in god.",ad hominem,ad hominem,True
36,You're probably a drug addict yourself.,ad hominem,ad hominem,True
37,Only people who are really dumb think celebrities get away with more crime.,ad hominem,ad hominem,True
38,Anyone who doesn't want censoring must be a pervert.,ad hominem,ad hominem,True
39,You are a criminal. So you should exit this discussion.,ad hominem,ad hominem,True
40,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,ad hominem,True
41,"Extinction is not natural, you dont know what you are talking about!",ad hominem,ad hominem,True
42,"You are one of those liberals with long hair,  right?",ad hominem,ad hominem,True
43,"Everybody who sais, that global warning is no issue is a retard",ad hominem,ad hominem,True
44,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,ad hominem,True
45,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,ad hominem,True
46,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,ad hominem,True
47,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,ad hominem,True
48,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,ad hominem,True
49,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,ad hominem,True
50,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,ad hominem,True
51,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,hasty generalization,False
